"","","",""
"1",1,1,TQ0157@Targetmol-L2300-640cpds-manual.csv-1
"2",2,1,TJS1159@Targetmol-L2300-640cpds-manual.csv-1
"3",3,1,TCS0102@Targetmol-L2300-640cpds-manual.csv-1
"4",4,1,T8607@Targetmol-L2300-640cpds-manual.csv-1
"5",4,2,T8607@Targetmol-L2300-640cpds-manual.csv-2
"6",5,1,T8528@Targetmol-L2300-640cpds-manual.csv-1
"7",5,2,T8528@Targetmol-L2300-640cpds-manual.csv-2
"8",6,1,T8449@Targetmol-L2300-640cpds-manual.csv-1
"9",7,1,T8446@Targetmol-L2300-640cpds-manual.csv-1
"10",7,2,T8446@Targetmol-L2300-640cpds-manual.csv-2
"11",8,1,T8444@Targetmol-L2300-640cpds-manual.csv-1
"12",9,1,T8442@Targetmol-L2300-640cpds-manual.csv-1
"13",10,1,T8440@Targetmol-L2300-640cpds-manual.csv-1
"14",10,2,T8440@Targetmol-L2300-640cpds-manual.csv-2
"15",11,1,T8425@Targetmol-L2300-640cpds-manual.csv-1
"16",12,1,T8410@Targetmol-L2300-640cpds-manual.csv-1
"17",13,1,T8394@Targetmol-L2300-640cpds-manual.csv-1
"18",14,1,T8388@Targetmol-L2300-640cpds-manual.csv-1
"19",15,1,T8318@Targetmol-L2300-640cpds-manual.csv-1
"20",15,2,T8318@Targetmol-L2300-640cpds-manual.csv-2
"21",16,1,T8143@Targetmol-L2300-640cpds-manual.csv-1
"22",16,2,T8143@Targetmol-L2300-640cpds-manual.csv-2
"23",16,3,T8143@Targetmol-L2300-640cpds-manual.csv-3
"24",16,4,T8143@Targetmol-L2300-640cpds-manual.csv-4
"25",17,1,T8125@Targetmol-L2300-640cpds-manual.csv-1
"26",17,2,T8125@Targetmol-L2300-640cpds-manual.csv-2
"27",18,1,T8036@Targetmol-L2300-640cpds-manual.csv-1
"28",19,1,T7899@Targetmol-L2300-640cpds-manual.csv-1
"29",20,1,T7884@Targetmol-L2300-640cpds-manual.csv-1
"30",21,1,S5556@Selleck-L2700-219cpds-manual.csv-1
"31",21,2,S5556@Selleck-L2700-219cpds-manual.csv-2
"32",21,3,S5556@Selleck-L2700-219cpds-manual.csv-3
"33",21,4,S5556@Selleck-L2700-219cpds-manual.csv-4
"34",21,5,S5556@Selleck-L2700-219cpds-manual.csv-5
"35",21,6,S5556@Selleck-L2700-219cpds-manual.csv-6
"36",21,7,S5556@Selleck-L2700-219cpds-manual.csv-7
"37",21,8,S5556@Selleck-L2700-219cpds-manual.csv-8
"38",21,9,S5556@Selleck-L2700-219cpds-manual.csv-9
"39",21,10,S5556@Selleck-L2700-219cpds-manual.csv-10
"40",21,11,S5556@Selleck-L2700-219cpds-manual.csv-11
"41",21,12,S5556@Selleck-L2700-219cpds-manual.csv-12
"42",21,13,S5556@Selleck-L2700-219cpds-manual.csv-13
"43",21,14,S5556@Selleck-L2700-219cpds-manual.csv-14
"44",21,15,S5556@Selleck-L2700-219cpds-manual.csv-15
