"","i_qp_.stars","i_qp_.amidine","i_qp_.rotor","i_qp_.rtvFG","i_qp_CNS","r_qp_dipole","r_qp_SASA","r_qp_FOSA","r_qp_FISA","r_qp_PISA","r_qp_WPSA","r_qp_volume","r_qp_donorHB","r_qp_accptHB","r_qp_dip.2.V","r_qp_ACxDN..5.SA","r_qp_glob","r_qp_QPpolrz","r_qp_QPlogPC16","r_qp_QPlogPoct","r_qp_QPlogPw","r_qp_QPlogPo.w","r_qp_QPlogS","r_qp_CIQPlogS","r_qp_QPlogHERG","r_qp_QPPCaco","r_qp_QPlogBB","r_qp_QPPMDCK","r_qp_QPlogKp","r_qp_IP.eV.","r_qp_EA.eV.","X.metabol","r_qp_QPlogKhsa","i_qp_HumanOralAbsorption","r_qp_PercentHumanOralAbsorption","r_qp_SAfluorine","r_qp_SAamideO","r_qp_PSA","i_qp_RuleOfFive","i_qp_RuleOfThree","r_qp_Jm"
"1",0,0,7,0,-2,4.086,564.923,243.161,253.3,14.07,54.393,956.863,3,4,0.0174519,0.012264,0.8312705,27.779,9.976,16.051,9.706,1.623,-3.947,-3.892,-4.329,39.252,-2.169,29.678,-5.466,8.443,0.642,2,0.006,2,52.015,0,0,141.601,1,0,0.000115852813824631
"2",0,0,6,0,-1,6.45,603.372,320.773,125.745,156.854,0,1083.533,1,6,0.0383919,0.0099441,0.8455545,34.854,10.509,16.43,9.144,2.897,-4.125,-5.386,-4.779,635.998,-0.971,303.326,-2.708,8.848,0.685,6,0.15,3,94.083,0,0,103.904,0,0,0.0549268149190534
"3",2,0,1,0,1,3.939,398.656,354.809,38.173,5.674,0,646.789,0,2,0.0239937,0,0.9072801,19.143,4.637,6.68,2.726,2.226,-2.243,-1.479,-3.059,4304.324,0.194,2396.217,-2.107,9.693,-0.153,4,-0.082,3,100,0,0,25.534,0,0,3.26397216325139
"4",0,0,4,0,0,6.288,463.026,207.213,59.424,196.389,0,740.129,2,2,0.0534213,0.0061086,0.8546022,22.773,7.164,11.459,6.59,2.64,-3.101,-2.658,-4.821,2706.323,-0.22,1451.113,-1.539,7.975,-0.219,1,-0.043,3,100,0,0,39.438,0,0,4.34174434661854
"5",1,0,4,0,0,5.698,459.839,205.257,58.329,196.252,0,736.091,2,2,0.0441111,0.0061509,0.8573941,22.61,7.13,11.276,6.574,2.623,-3.044,-2.658,-4.775,2771.815,-0.207,1489.106,-1.519,8.17,-0.187,0,-0.053,3,100,0,0,39.573,0,0,5.17059650226019
"6",1,0,5,0,1,5.241,568.452,87.135,15.646,465.671,0,1006.052,1,2.5,0.0273041,0.0043979,0.8541843,35.345,11.196,14.555,7.185,4.973,-4.904,-5.551,-6.112,7039.279,0.119,4077.816,0.313,7.975,0.112,4,0.663,3,100,0,0,33.919,0,0,7.76597597900472
"7",0,0,5,0,1,5.839,546.247,87.402,18.49,440.355,0,978.951,1,2.5,0.0348316,0.0045767,0.8728711,34.019,10.849,14.218,6.979,4.755,-4.501,-5.551,-5.689,6615.462,0.1,3813.102,0.171,8.224,0.203,3,0.593,3,100,0,0,32.852,0,0,14.1747936132861
"8",1,0,1,0,2,8.937,672.211,80.733,20.755,406.261,164.462,1207.846,1,2,0.0661189,0.0029753,0.8159571,45.422,11.615,19.145,8.614,6.367,-7.866,-7.342,-5.073,4793.16,0.699,10000,-0.375,8.91,0.415,3,1.169,1,100,164.462,14.881,34.04,1,1,0.00238124384499187
"9",1,0,1,0,1,7.174,583.372,51.174,74.431,290.728,167.039,1026.487,1,2,0.0501364,0.0034283,0.8435707,37.06,10.318,16.14,6.879,5.333,-6.731,-7.23,-5.45,1950.151,0.216,8373.692,-1.771,8.422,1.388,2,0.984,1,100,103.629,0,49.199,1,1,0.00118788062069594
"10",0,0,0,0,1,10.528,576.044,51.597,85.294,276.364,162.789,1019.379,1,4,0.1087351,0.0069439,0.8503544,37.281,10.208,18.164,9.027,4.36,-6.041,-6.432,-5.271,1538.349,0.177,6141.771,-2.118,8.817,1.228,1,0.624,3,100,104.022,0,57.897,0,1,0.00262021249397246
"11",0,0,5,0,-1,5.393,585.564,273.624,130.181,149.811,31.949,1023.229,2,4.5,0.028424,0.0108681,0.8386341,33.016,10.352,16.455,9.303,3.141,-4.581,-4.251,-4.858,577.296,-0.893,408.76,-2.911,8.712,0.904,1,0.274,3,94.758,0,0,67.934,0,0,0.0101210058587971
"12",0,0,10,0,1,5.897,685.742,199.179,64.936,382.842,38.786,1248.687,2,5.5,0.0278509,0.0113427,0.8177861,41.054,13.709,19.711,10.57,4.286,-3.984,-4.982,-7.032,598.426,-0.193,512.476,-2.47,8.775,1.051,7,0.469,3,100,0,0,65.471,0,1,0.139221738149863
"13",2,0,2,0,1,2.012,556.605,0,30.761,525.844,0,950.149,1,3,0.0042611,0.0053898,0.839742,35.609,11.136,14.812,8.823,4.375,-5.006,-5.072,-6.633,5060.471,0.152,2854.283,-0.042,7.855,0.827,2,0.538,3,100,0,0,34.795,0,0,2.56580651871146
"14",1,0,2,0,1,3.805,556.788,0,43.779,513.009,0,950.366,1,3,0.0152319,0.005388,0.8395932,35.495,11.139,14.966,8.825,4.271,-5.009,-5.072,-6.574,3808.402,0.029,2099.25,-0.327,8.09,0.856,1,0.538,3,100,0,0,35.52,0,0,1.32067700762699
"15",2,0,17,0,-2,4.32,796.404,661.011,98.914,36.479,0,1364.32,2,4.2,0.0136814,0.0074581,0.7469803,37.879,12.623,16.584,7.717,4.614,-5.46,-3.393,-4.426,723.709,-1.643,571.386,-1.582,9.808,-0.838,5,0.365,1,100,0,24.916,61.369,0,0,0.0293837392222238
"16",1,0,4,1,-1,5.635,489.204,192.896,134.857,136.954,24.497,837.488,1,5,0.0379161,0.0102207,0.8783372,26.102,8.032,13.057,8.261,2.314,-2.945,-3.144,-2.346,132.024,-0.783,96.052,-3.138,9.019,1.308,0,-0.361,3,78.447,24.497,0,75.751,0,0,0.217132326558059
"17",7,0,4,0,-1,4.102,272.981,71.161,201.82,0,0,392.425,3,3.7,0.0428825,0.0234763,0.9495933,6.982,4.089,8.739,8.905,-3.314,0.309,0.581,-1.266,7.63,-0.771,3.581,-6.918,9.991,-1.096,4,-1.1,1,23.337,0,0,96.827,0,1,0.0519183727562236
"18",0,0,4,0,1,3.451,612.142,134.788,101.698,341.304,34.352,1064.408,1,7.5,0.0111863,0.0122521,0.8236038,37.135,11.209,17.998,12.187,2.13,-2.992,-3.227,-6.74,268.16,-0.194,203.504,-3.87,8.934,1.367,4,-0.121,3,82.882,33.613,0,65.524,0,0,0.0474041673159855
"19",0,0,8,0,-2,5.894,603.002,227.936,172.346,202.72,0,1060.163,4.25,4.75,0.0327715,0.0162394,0.8338635,33.073,11.655,19.971,14.957,-0.122,-2.278,-2.342,-2.731,8.64,-1.173,7.179,-5.276,8.316,-0.035,5,-0.479,2,42.991,0,28.334,115.646,0,1,0.00885042815743227
"20",0,0,8,0,-2,5.529,612.009,222.333,182.623,207.052,0,1071.042,4.25,4.75,0.0285376,0.0160004,0.8272026,33.55,11.853,20.116,14.915,-0.128,-2.498,-2.342,-2.86,7.188,-1.299,5.633,-5.45,8.518,0.185,5,-0.457,2,41.528,0,26.128,118.689,0,1,0.00357287101814082
"21",0,0,11,0,1,2.409,717.787,424.416,58.119,235.253,0,1230.233,2,5.45,0.0047183,0.0107378,0.7735603,38.263,12.273,17.692,9.313,3.89,-4.226,-3.688,-7.044,694.476,-0.348,369.046,-2.768,8.694,-0.198,7,0.361,3,100,0,0,58.542,0,1,0.0350322726212157
"22",0,0,11,0,1,3.462,718.745,424.869,57.547,236.329,0,1231.017,2,5.45,0.0097338,0.0107235,0.7728577,38.305,12.287,17.771,9.319,3.899,-4.242,-3.688,-7.061,703.197,-0.343,374.057,-2.754,8.654,-0.232,7,0.362,3,100,0,0,58.464,0,1,0.0348397758776764
"23",0,0,11,0,1,4.275,706.811,432.759,45.947,228.105,0,1220.795,2,5.45,0.014969,0.0109046,0.7815502,37.818,12.019,17.638,9.155,3.911,-4.034,-3.688,-6.881,905.905,-0.202,491.86,-2.569,8.508,-0.233,7,0.34,3,100,0,0,56.681,0,1,0.0860897099733232
"24",0,0,11,0,1,4.179,697.826,425.721,40.637,231.468,0,1215.15,2,5.45,0.0143717,0.011045,0.7891715,37.624,11.93,17.574,9.12,3.922,-3.878,-3.688,-6.773,1017.287,-0.136,557.539,-2.46,8.655,-0.302,7,0.33,3,100,0,0,57.252,0,1,0.158820774592809
"25",0,0,5,0,1,3.474,569.014,302.342,63.062,203.61,0,1049.94,1,5.45,0.0114954,0.009578,0.8779807,34.599,10.175,15.571,8.632,3.422,-3.246,-3.218,-5.204,623.417,0.115,328.405,-3.547,8.776,0.877,4,0.226,3,100,0,0,46.897,0,0,0.197406933916287
"26",0,0,5,0,1,3.264,558.125,289.994,62.823,205.308,0,1033.16,1,5.45,0.0103095,0.0097648,0.8855473,33.943,10.06,15.345,8.616,3.399,-3.189,-3.218,-5.089,626.679,0.127,330.263,-3.537,8.783,0.885,4,0.186,3,96.912,0,0,46.753,0,0,0.311471317667511
