"","i_qp_.amine","i_qp_.acid","i_qp_.amide","r_qp_mol_MW","i_qp_.NandO","i_qp_.ringatoms","i_qp_.in34","i_qp_.in56","i_qp_.noncon","i_qp_.nonHatm"
"1",0,0,0,299.762,8,6,0,6,0,20
"2",0,0,0,374.346,8,16,0,16,0,27
"3",0,0,0,152.236,1,6,0,6,4,11
"4",0,0,0,189.26,3,9,0,9,0,14
"5",0,0,0,189.26,3,9,0,9,0,14
"6",0,0,0,303.363,4,20,0,20,0,23
"7",0,0,0,303.363,4,20,0,20,0,23
"8",0,0,1,414.402,3,22,0,22,3,30
"9",0,0,0,377.753,4,19,0,19,0,26
"10",0,0,0,377.753,4,19,0,19,0,26
"11",0,0,0,303.421,4,12,0,12,0,21
"12",1,0,0,396.503,5,17,0,17,0,28
"13",0,0,0,286.335,4,21,0,21,0,22
"14",0,0,0,286.335,4,21,0,21,0,22
"15",0,0,1,323.518,3,0,0,0,0,23
"16",0,1,0,263.268,4,9,0,9,0,19
"17",1,1,0,105.093,4,0,0,0,0,7
"18",1,0,0,345.391,5,17,0,17,0,24
"19",1,1,1,317.387,6,9,0,9,0,23
"20",1,1,1,317.387,6,9,0,9,0,23
"21",1,0,0,345.438,5,12,0,12,0,25
"22",1,0,0,345.438,5,12,0,12,0,25
"23",1,0,0,345.438,5,12,0,12,0,25
"24",1,0,0,345.438,5,12,0,12,0,25
"25",1,0,0,324.422,4,18,0,18,7,24
"26",1,0,0,324.422,4,18,0,18,7,24
"27",0,0,0,236.27,2,16,0,16,0,18
"28",0,0,0,349.835,4,17,0,17,6,24
"29",0,0,1,365.139,4,12,0,12,0,23
"30",2,0,0,234.384,2,17,0,17,15,17
"31",2,0,0,234.384,2,17,0,17,15,17
"32",2,0,0,234.384,2,17,0,17,15,17
"33",2,0,0,234.384,2,17,0,17,15,17
"34",2,0,0,234.384,2,17,0,17,15,17
"35",2,0,0,234.384,2,17,0,17,15,17
